date,outlet_name,item_name,net_revenue,quantity,brand,wok_id,hour_slot,order_type,basic_amt,void_amt,product_id,day_no,day_of_week
2025-12-01,QAFFEINE HITECH CITY,BANH MI CHICKEN SANDWICH,209.0,1,QAFFEINE,QOH0012,14-15,Carry-Out,209,0,14391,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CHOCOLATE THICK SHAKE,182.7,1,QAFFEINE,QOH0012,14-15,Carry-Out,203,0,15224,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,HONEY CINNAMON ROLL,139.0,1,QAFFEINE,QOH0012,14-15,Carry-Out,139,0,20638,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,GINGER TEA,139.0,1,QAFFEINE,QOH0012,15-16,Carry-Out,139,0,145,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,QAFFEINE WATER,285.7,5,QAFFEINE,QOH0012,15-16,Carry-Out,285.7,0,405,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,ICED CAFE AMERICANO,150.0,1,QAFFEINE,QOH0012,15-16,Carry-Out,150,0,501,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,FAMOUS COLD COFFEE_P,182.0,1,QAFFEINE,QOH0012,15-16,Carry-Out,182,0,8645,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),154.0,1,QAFFEINE,QOH0012,15-16,Carry-Out,154,0,8869,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CAFE LATTE ( HOT),644.0,4,QAFFEINE,QOH0012,15-16,Carry-Out,644,0,8870,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CHOCO LOADED COLD COFFEE,176.4,1,QAFFEINE,QOH0012,15-16,Carry-Out,196,0,9119,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,OREO CHOCOLATE THICK SHAKE,203.0,1,QAFFEINE,QOH0012,15-16,Carry-Out,203,0,9122,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,MASALA TEA,278.0,2,QAFFEINE,QOH0012,15-16,Carry-Out,278,0,9128,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CARDAMOM TEA,278.0,2,QAFFEINE,QOH0012,15-16,Carry-Out,278,0,9135,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,WALNUT BROWNIE,153.0,1,QAFFEINE,QOH0012,15-16,Carry-Out,153,0,10155,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,SCHEZWAN CHICKEN WRAP,188.0,1,QAFFEINE,QOH0012,15-16,Carry-Out,188,0,10439,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,EXOTIC FRUITY FIZZZZZ,154.0,1,QAFFEINE,QOH0012,15-16,Carry-Out,154,0,12025,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,BLUEBERRY THICK SHAKE,203.0,1,QAFFEINE,QOH0012,15-16,Carry-Out,203,0,12028,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,NUTELLA CRUNCHY THICK SHAKE,203.0,1,QAFFEINE,QOH0012,15-16,Carry-Out,203,0,12029,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,BANH MI CHICKEN SANDWICH,1045.0,5,QAFFEINE,QOH0012,15-16,Carry-Out,1045,0,14391,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CHOCOLATE THICK SHAKE,203.0,1,QAFFEINE,QOH0012,15-16,Carry-Out,203,0,15224,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,MOCHA COLD COFFEE,196.0,1,QAFFEINE,QOH0012,16-17,Carry-Out,196,0,133,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,QAFFEINE WATER,114.28,2,QAFFEINE,QOH0012,16-17,Carry-Out,114.28,0,405,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,EXTRA ESPRESSO SHOT,49.0,1,QAFFEINE,QOH0012,16-17,Carry-Out,49,0,407,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,ICED SPANISH LATTE N,182.0,1,QAFFEINE,QOH0012,16-17,Carry-Out,182,0,5965,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,FAMOUS COLD COFFEE_P,509.6,3,QAFFEINE,QOH0012,16-17,Carry-Out,546,0,8645,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),554.4,4,QAFFEINE,QOH0012,16-17,Carry-Out,616,0,8869,1,MONDAY
