date,outlet_name,item_name,net_revenue,quantity,brand,channel,bill_no,product_group,spl_category,basic_rate,cgst,sgst,total_gst,kot_time,city,order_taker
2025-12-01,QAFFEINE HITECH CITY,PANEER TIKKA GALETTE,116.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018924/2025,CROISSANTS,FOOD,116,2.9,2.9,5.8,2025-12-01 13:29:34,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),154.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018924/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,154,3.85,3.85,7.7,2025-12-01 13:29:34,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,BRIOCHE PANEER SANDWICH,209.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018924/2025,SANDWICHES,FOOD,209,5.23,5.23,10.46,2025-12-01 13:29:34,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CAFE LATTE ( HOT),161.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018925/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,161,4.03,4.03,8.06,2025-12-01 13:37:03,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),308.0,2.0,QAFFEINE,Carry-Out,QAH/IN/1/018925/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,154,7.7,7.7,15.4,2025-12-01 13:37:03,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,BANH MI CHICKEN SANDWICH,209.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018926/2025,SANDWICHES,FOOD,209,5.23,5.23,10.46,2025-12-01 13:37:16,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,GREAT INDIAN FILTER COFFEE REGULAR,294.0,2.0,QAFFEINE,Carry-Out,QAH/IN/1/018926/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,147,7.35,7.35,14.7,2025-12-01 13:37:16,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,BLUEBERRY THICK SHAKE,203.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018927/2025,Q THICK SHAKE,BEVERAGES,203,5.08,5.08,10.16,2025-12-01 13:54:03,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,GREAT INDIAN FILTER COFFEE REGULAR,294.0,2.0,QAFFEINE,Carry-Out,QAH/IN/1/018927/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,147,7.35,7.35,14.7,2025-12-01 13:54:03,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,QAFFEINE WATER,57.14,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018928/2025,BEVERAGE,BEVERAGES,57.14,1.43,1.43,2.86,2025-12-01 14:00:24,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,HONEY CINNAMON ROLL,139.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018928/2025,CROISSANTS,FOOD,139,3.48,3.48,6.96,2025-12-01 14:00:24,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,OREO CHOCOLATE THICK SHAKE,203.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018928/2025,Q THICK SHAKE,BEVERAGES,203,5.08,5.08,10.16,2025-12-01 14:00:24,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,FRENCH CHILLI CHEESE TOASTIE,153.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018928/2025,SAVOURIES,FOOD,153,3.83,3.83,7.66,2025-12-01 14:00:24,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CLASSIC KOREAN GARLIC BUN,181.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018928/2025,SAVOURIES,FOOD,181,4.53,4.53,9.06,2025-12-01 14:00:24,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),154.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018929/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,154,3.85,3.85,7.7,2025-12-01 14:02:57,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,LARGE LEMON TEA,139.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018929/2025,HOT BEVERAGE,BEVERAGES,139,3.48,3.48,6.96,2025-12-01 14:02:57,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,AMERICANO,119.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018929/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,119,2.98,2.98,5.96,2025-12-01 14:02:57,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CAFE LATTE ( HOT),161.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018930/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,161,4.03,4.03,8.06,2025-12-01 14:11:27,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,QAFFEINE WATER,57.14,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018930/2025,BEVERAGE,BEVERAGES,57.14,1.43,1.43,2.86,2025-12-01 14:11:27,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,BANH MI CHICKEN SANDWICH,209.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018930/2025,SANDWICHES,FOOD,209,5.23,5.23,10.46,2025-12-01 14:11:27,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CHICKEN AFGHANI SANDWICH,209.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018930/2025,SANDWICHES,FOOD,209,5.23,5.23,10.46,2025-12-01 14:11:27,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,EXTRA ESPRESSO SHOT,49.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018931/2025,ADDONS,ADD ON,49,1.23,1.23,2.46,2025-12-01 14:13:09,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),154.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018931/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,154,3.85,3.85,7.7,2025-12-01 14:13:09,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CARDAMOM TEA,139.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018931/2025,Q HOT TEA,BEVERAGES,139,3.48,3.48,6.96,2025-12-01 14:13:09,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,MOJITO,154.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018932/2025,Q FIZZZZZ(SPARKLING),BEVERAGES,154,3.85,3.85,7.7,2025-12-01 14:19:09,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,GREAT INDIAN FILTER COFFEE REGULAR,294.0,2.0,QAFFEINE,Carry-Out,QAH/IN/1/018932/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,147,7.35,7.35,14.7,2025-12-01 14:19:09,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),308.0,2.0,QAFFEINE,Carry-Out,QAH/IN/1/018933/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,154,7.7,7.7,15.4,2025-12-01 14:22:03,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,WALNUT BROWNIE,153.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018934/2025,BROWNIES AND COOKIES,FOOD,153,3.83,3.83,7.66,2025-12-01 14:24:07,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,PANEER AFGHANI SANDWICH,202.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018934/2025,SANDWICHES,FOOD,202,5.05,5.05,10.1,2025-12-01 14:24:07,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),123.2,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018935/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,154,3.08,3.08,6.16,2025-12-01 14:30:11,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,OREO CHOCOLATE THICK SHAKE,406.0,2.0,QAFFEINE,Carry-Out,QAH/IN/1/018936/2025,Q THICK SHAKE,BEVERAGES,203,10.15,10.15,20.3,2025-12-01 14:34:31,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,MARBLE TEA CAKE SLICE,160.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018937/2025,FOOD,FOOD,160,4,4,8,2025-12-01 14:36:39,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CLASSIC KOREAN GARLIC BUN,181.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018937/2025,SAVOURIES,FOOD,181,4.53,4.53,9.06,2025-12-01 14:36:39,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),308.0,2.0,QAFFEINE,Carry-Out,QAH/IN/1/018937/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,154,7.7,7.7,15.4,2025-12-01 14:36:39,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CHOCOLATE THICK SHAKE,182.7,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018938/2025,Q THICK SHAKE,BEVERAGES,203,4.57,4.57,9.14,2025-12-01 14:38:53,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CHICKEN AFGHANI SANDWICH,188.1,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018938/2025,SANDWICHES,FOOD,209,4.7,4.7,9.4,2025-12-01 14:38:53,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,BELGIUM CHOCOLATE PASTRY,163.8,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018938/2025,PASTRIES,FOOD,182,4.09,4.09,8.18,2025-12-01 14:38:53,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,SCHEZWAN CHICKEN WRAP,169.2,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018939/2025,WRAPS,FOOD,188,4.23,4.23,8.46,2025-12-01 14:49:55,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,KIT KAT THICK SHAKE,182.7,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018939/2025,Q THICK SHAKE,BEVERAGES,203,4.57,4.57,9.14,2025-12-01 14:49:55,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,QAFFEINE WATER,57.14,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018939/2025,BEVERAGE,BEVERAGES,57.14,1.43,1.43,2.86,2025-12-01 14:49:55,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CAFE LATTE ( HOT),161.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018940/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,161,4.03,4.03,8.06,2025-12-01 15:02:43,HYDERABAD,HITECH CITY CASHIER 1
